siren,dateCreationEtablissement,denominationUniteLegale,isOnePerson,X,Y,appearances
038925053,1900-01-01,SYNDICAT DE COPROPRIETE JEAN JAURES,False,48.90205536,2.3900571719,4
039353974,1900-01-01,SYNDICAT DE COPROPRIETE HEURTAULT,False,48.912814483,2.3751901121,2
043855030,1900-01-01,GIRAUD GERMAIN,False,48.909259627,2.3786662003,2
095820072,1900-01-01,SOC IMMOBILIERE AGRIC ORNE,False,48.866598719,2.417363351,2
300091089,1900-01-01,COMITE DES FETES,False,48.868751698,2.4158620625,3
300194933,1900-01-01,,True,48.87687832,2.4225881819,1
300355716,1900-01-01,,True,48.935440159,2.4654375191,1
300510633,1900-01-01,,True,48.920124605,2.5116043175,1
300567633,1900-01-01,,True,48.924125709,2.5006315762,1
300581758,1900-01-01,,True,48.913637413,2.3775873449,1
300961224,1900-01-01,HAMON GILBERT ET,False,48.863182691,2.4192177422,2
301050753,1900-01-01,CEREM,False,48.931166611,2.4956886923,2
301097457,1900-01-01,DIAM 2000,False,48.956275781,2.4762438239,6
301209078,1900-01-01,,True,48.95547439,2.502280473,1
301438479,1900-01-01,,True,48.876911007,2.4294050839,1
408547214,1996-07-17,ERM'S,False,48.906195705,2.5228178481,2
407986041,1996-07-19,,True,48.920878476,2.4355249312,1
408710853,1996-07-22,CLARK INFO SYSTEM,False,48.923613531,2.4315963823,2
408421204,1996-07-24,,True,48.87265819,2.4286745678,1
408475952,1996-07-26,LUCEVE HOLDING,False,48.862453547,2.5708580307,2
408488492,1996-07-30,FRANCE TEXTIL,False,48.903396354,2.3709374578,2
304773302,1996-08-01,TRANSTURDINE,False,48.955888838,2.4658094275,3
408364446,1996-08-01,TRANLATIO,False,48.951218364,2.5005475617,2
408752491,1996-08-01,LE CELTIQUE,False,48.922660717,2.4974987687,4
408475291,1996-08-01,SCI PUISSANCE 5,False,48.932061207,2.4023457417,2
394240121,1996-08-01,CORES,False,48.965031463,2.3017080175,2
408993137,1996-08-01,TAME EXPRESS,False,48.911521706,2.517791737,3
412012288,1996-08-05,,True,48.954793839,2.3100399297,1
408210169,1996-08-09,,True,48.921174819,2.4158493238,1
493346993,2006-12-19,BYBLOS,False,48.906895199,2.4900208299,2
493198105,2006-12-20,MOULOUK TESTE,False,48.923952034,2.414858907,2
493490684,2006-12-21,,True,48.907550507,2.3846789835,1
493636757,2006-12-21,SCI VILLA ROSA,False,48.865944298,2.5289622424,2
493116529,2006-12-23,SELARL DE CHIRURGIENS DENTISTES CABINET DENTAIRE RIMBAUD,False,48.905155778,2.4792160593,3
493248124,2006-12-26,E.S.D LOGISTIC,False,48.915133672,2.4399070995,2
494048879,2006-12-27,GINO,False,48.879755267,2.4138896989,4
313968935,2006-12-29,,True,48.948663261,2.3297547001,1
453489056,2006-12-31,UPTEAMUM,False,48.846965238,2.5463250654,2
453695579,2006-12-31,ZEGHOUDI,False,48.911605072,2.5485304416,3
379234941,2007-01-01,INST AULNAYSIEN DEVELOPPEMENT CULTUREL,False,48.957188953,2.4675404283,3
480260348,2007-01-01,,True,48.949932581,2.5117640364,1
493105126,2007-01-01,INTUITION SARL,False,48.911894764,2.3725402106,2
493358477,2007-01-01,JUMEAUX DISTRIBUTION,False,48.951968539,2.4980525762,2
493583264,2007-01-01,LUCK SEINE,False,48.95848315,2.3964971879,2
799829684,2014-01-21,,True,48.919870676,2.4432784719,1
799792114,2014-01-22,TA.BA,False,48.919732443,2.4078801495,2
800748303,2014-01-22,ASSOCIATION U'N'I,False,48.933279532,2.4588002477,2
799826193,2014-01-23,SARL PROFILFER,False,48.937140032,2.3378107365,2
520509720,2014-01-24,IZOLINE,False,48.903321527,2.4354794576,2
799961800,2014-01-24,AROPTIC,False,48.925039118,2.3843165894,3
799733514,2014-01-25,,True,48.911567056,2.5209813034,1
